steps,top_k,alpha,lock_in_threshold,persistence_window,n_seeds,mean_vii_mean,mean_vii_std,final_vii_mean,final_vii_std,lock_in_rate_mean,lock_in_rate_std
400,1,0.0,0.2,10,5,0.44999999999999996,0.0,0.44999999999999996,0.0,0.0,0.0
400,1,0.1,0.2,10,5,0.15000000000000002,0.0,0.15000000000000002,0.0,1.0,0.0
400,1,0.3,0.2,10,5,0.15000000000000002,0.0,0.15000000000000002,0.0,1.0,0.0
400,1,0.5,0.2,10,5,0.15000000000000002,0.0,0.15000000000000002,0.0,1.0,0.0
400,1,0.8,0.2,10,5,0.15000000000000002,0.0,0.15000000000000002,0.0,1.0,0.0
400,2,0.0,0.2,10,5,0.2961,0.0037168535080091547,0.2961,0.0037168535080091877,0.0055,0.011
400,2,0.1,0.2,10,5,0.3036,0.0038360135557633387,0.3036,0.003836013555763362,0.0,0.0
400,2,0.3,0.2,10,5,0.303,0.00399687377834227,0.3029999999999999,0.003996873778342166,0.0,0.0
400,2,0.5,0.2,10,5,0.3024,0.0041188590653238035,0.30239999999999995,0.004118859065323741,0.0,0.0
400,2,0.8,0.2,10,5,0.30119999999999997,0.0034727510708370555,0.3011999999999999,0.0034727510708370975,0.0,0.0
400,3,0.0,0.2,10,5,0.266825,0.004984099718103546,0.2668250000000001,0.004984099718103465,0.06,0.01695582495781317
400,3,0.1,0.2,10,5,0.262025,0.0054746004420414,0.2620250000000001,0.00547460044204137,0.1065,0.04417578522222328
400,3,0.3,0.2,10,5,0.262175,0.00498409971810357,0.2621750000000001,0.004984099718103595,0.1065,0.04417578522222328
400,3,0.5,0.2,10,5,0.26234999999999997,0.005243686680189797,0.26234999999999997,0.005243686680189772,0.1,0.061012293843126404
400,3,0.8,0.2,10,5,0.26227500000000004,0.005677477432804109,0.2622750000000001,0.0056774774328041,0.107,0.05677587515838043
400,5,0.0,0.2,10,5,0.302975,0.006747406909324504,0.302975,0.006747406909324498,0.005,0.01
400,5,0.1,0.2,10,5,0.3225,0.008625181157517784,0.3225,0.008625181157517753,0.0,0.0
400,5,0.3,0.2,10,5,0.322125,0.008464632301523785,0.322125,0.008464632301523665,0.0,0.0
400,5,0.5,0.2,10,5,0.32080000000000003,0.00899638816414678,0.3208000000000001,0.008996388164146638,0.0,0.0
400,5,0.8,0.2,10,5,0.26955,0.0060810155401873405,0.26955,0.006081015540187397,0.0,0.0
400,10,0.0,0.2,10,5,0.220135,0.006482777182658674,0.22013500000000003,0.006482777182658721,0.016,0.013095800853708796
400,10,0.1,0.2,10,5,0.232495,0.007794315236119204,0.23249500000000003,0.007794315236119206,0.006500000000000001,0.013000000000000001
400,10,0.3,0.2,10,5,0.23227,0.007558842503981689,0.23227000000000003,0.007558842503981623,0.005,0.01
400,10,0.5,0.2,10,5,0.231985,0.008424215096968968,0.23198500000000005,0.008424215096968987,0.01,0.012247448713915891
400,10,0.8,0.2,10,5,0.22646,0.006108060248556821,0.22645999999999994,0.006108060248556861,0.012,0.014781745499094483
